"zip","city","county","stateCode","population","state"
33919,"Fort Myers","Lee County","FL",28483,"Florida"
33544,"Wesley Chapel","Pasco County","FL",28472,"Florida"
32826,"Orlando","Orange County","FL",28428,"Florida"
34266,"Arcadia","DeSoto County","FL",28420,"Florida"
33618,"Tampa","Hillsborough County","FL",28416,"Florida"
33771,"Largo","Pinellas County","FL",28412,"Florida"
33308,"Fort Lauderdale","Broward County","FL",28406,"Florida"
33127,"Miami","Miami-Dade County","FL",28306,"Florida"
33897,"Davenport","Polk County","FL",28083,"Florida"
32505,"Pensacola","Escambia County","FL",28055,"Florida"
33598,"Wimauma","Hillsborough County","FL",27978,"Florida"
32163,"The Villages","Sumter County","FL",27953,"Florida"
32127,"Port Orange","Volusia County","FL",27908,"Florida"
33967,"Fort Myers","Lee County","FL",27887,"Florida"
33584,"Seffner","Hillsborough County","FL",27863,"Florida"
34219,"Parrish","Manatee County","FL",27838,"Florida"
32819,"Orlando","Orange County","FL",27826,"Florida"
34606,"Spring Hill","Hernando County","FL",27795,"Florida"
33446,"Delray Beach","Palm Beach County","FL",27774,"Florida"
33764,"Clearwater","Pinellas County","FL",27681,"Florida"
32937,"Satellite Beach","Brevard County","FL",27611,"Florida"
34684,"Palm Harbor","Pinellas County","FL",27607,"Florida"
33028,"Pembroke Pines","Broward County","FL",27583,"Florida"
32901,"Melbourne","Brevard County","FL",27574,"Florida"
32927,"Cocoa","Brevard County","FL",27570,"Florida"
34771,"Saint Cloud","Osceola County","FL",27537,"Florida"
33705,"Saint Petersburg","Pinellas County","FL",27426,"Florida"
33755,"Clearwater","Pinellas County","FL",27279,"Florida"
34689,"Tarpon Springs","Pinellas County","FL",27076,"Florida"
33913,"Fort Myers","Lee County","FL",27056,"Florida"
32806,"Orlando","Orange County","FL",26927,"Florida"
32962,"Vero Beach","Indian River County","FL",26904,"Florida"
33563,"Plant City","Hillsborough County","FL",26874,"Florida"
34202,"Bradenton","Manatee County","FL",26762,"Florida"
32789,"Winter Park","Orange County","FL",26741,"Florida"
34982,"Fort Pierce","St. Lucie County","FL",26727,"Florida"
34287,"North Port","Sarasota County","FL",26721,"Florida"
33860,"Mulberry","Polk County","FL",26658,"Florida"
33629,"Tampa","Hillsborough County","FL",26625,"Florida"
34471,"Ocala","Marion County","FL",26614,"Florida"
34112,"Naples","Collier County","FL",26597,"Florida"
33144,"Miami","Miami-Dade County","FL",26596,"Florida"
33936,"Lehigh Acres","Hendry County","FL",26537,"Florida"
33166,"Miami","Miami-Dade County","FL",26364,"Florida"
33781,"Pinellas Park","Pinellas County","FL",26315,"Florida"
32605,"Gainesville","Alachua County","FL",26313,"Florida"
32177,"Palatka","Putnam County","FL",26290,"Florida"
33484,"Delray Beach","Palm Beach County","FL",26262,"Florida"
33569,"Riverview","Hillsborough County","FL",26189,"Florida"
33916,"Fort Myers","Lee County","FL",26153,"Florida"
33406,"West Palm Beach","Palm Beach County","FL",26093,"Florida"
33805,"Lakeland","Polk County","FL",26064,"Florida"
34736,"Groveland","Lake County","FL",26040,"Florida"
34747,"Kissimmee","Osceola County","FL",26021,"Florida"
33703,"Saint Petersburg","Pinellas County","FL",25900,"Florida"
33811,"Lakeland","Polk County","FL",25886,"Florida"
34109,"Naples","Collier County","FL",25845,"Florida"
33907,"Fort Myers","Lee County","FL",25828,"Florida"
33770,"Largo","Pinellas County","FL",25811,"Florida"
33545,"Wesley Chapel","Pasco County","FL",25721,"Florida"
32223,"Jacksonville","Duval County","FL",25604,"Florida"
33331,"Fort Lauderdale","Broward County","FL",25418,"Florida"
33825,"Avon Park","Highlands County","FL",25393,"Florida"
34652,"New Port Richey","Pasco County","FL",25335,"Florida"
33870,"Sebring","Highlands County","FL",25314,"Florida"
33137,"Miami","Miami-Dade County","FL",25283,"Florida"
32536,"Crestview","Okaloosa County","FL",25210,"Florida"
33712,"Saint Petersburg","Pinellas County","FL",25178,"Florida"
32750,"Longwood","Seminole County","FL",25176,"Florida"
32967,"Vero Beach","Indian River County","FL",25116,"Florida"
34476,"Ocala","Marion County","FL",25106,"Florida"
33707,"Saint Petersburg","Pinellas County","FL",25059,"Florida"
34714,"Clermont","Lake County","FL",25047,"Florida"
33991,"Cape Coral","Lee County","FL",24993,"Florida"
32905,"Palm Bay","Brevard County","FL",24971,"Florida"
